ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
8	./Images/main-img.png	0,52.5,197.5	1,0,0	0,1,0	0,0,1	0.4049316	2.975999	0.2	16	none(caption)	-1:-1	32
11	./Images/スクリーンショット 2023-08-18 182646.png	84.15791,52.5,100	0,0,-1	0,1,0	1,0,0	16.09569	-14.79	0.2	2	Wooden_thin	-1:-1	35
13	./Images/スクリーンショット 2023-08-18 182656.png	84.15791,52.5,100	0,0,-1	0,1,0	1,0,0	-18.073	-8.553001	0.2	2	Wooden_thin	-1:-1	37
14	./Images/スクリーンショット 2023-08-18 182704.png	84.15791,52.5,100	0,0,-1	0,1,0	1,0,0	-8.760871	-19.79851	0.2	2.2	Wooden_thin	-1:-1	38
15	./Images/スクリーンショット 2023-08-18 182712.png	84.15791,52.5,100	0,0,-1	0,1,0	1,0,0	1.031857	-31.1385	0.2	2.1	Wooden_thin	-1:-1	39
17	./Images/713992/mizuho.jpg	42.45738,19.104,53.80186	-1,0,0	0,1,0	0,0,1	-0.02042208	-3.538501	0.2	4.6	none(caption)	5:3	42
18	./Images/jojo1.png	-84.15791,52.5,100	0,0,1	0,1,0	-1,0,0	-42.68962	-4.993501	0.2	8	none(caption)	-1:-1	41
19	./Images/jojo2.png	-84.15791,52.5,100	0,0,1	0,1,0	-1,0,0	-27.82476	-29.40599	0.2	8	none(caption)	-1:-1	42
20	./Images/jojo3.png	-84.15791,52.5,100	0,0,1	0,1,0	-1,0,0	-77.68385	-24.14551	0.2	1	none(caption)	-1:-1	43
22	./Images/main_image_33234e12bc1f481aa144aae1c59f40fa21506.jpg	84.15791,52.5,100	0,0,-1	0,1,0	1,0,0	64.94654	-21.2475	0.2	3	MetalGold	-1:-1	44
23	./Images/えんかく.png	84.15791,52.5,100	0,0,-1	0,1,0	1,0,0	-81.78106	-21.62549	0.2	2	none(caption)	-1:-1	44
24	./Images/pofo.png	84.15791,52.5,100	0,0,-1	0,1,0	1,0,0	-22.25975	-27.4215	0.2	1.3	none(caption)	-1:-1	45
