id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		-1.588274,7.819996,1.646854	0.03180557,0,0.9994941		6.037463
2	3	1		4.650227,6.75,4.512987	0.2066419,0,0.9784166		12.28502
3	4	2		19.54044,6.95853,24.512	0.8627404,0,0.5056472		8.685019
4	5	3		-2.517424,9.136859,31.20978	0.1422095,0,0.9898366		-0.4649658
5	6	4		0.0979296,10.53053,77.04457	0.02488136,0,0.9996904		-5.714966
6	7	5		-10.80268,7.350773,109.8049	-0.8627282,0,0.505668		6.28502
7	8	6		-44.33182,6.75,134.3481	-0.9992791,0,0.03796422		12.43502
8	9	7		-26.07606,9.57237,52.2235	-0.9956829,0,0.09281939		-1.964966
9	10	8		16.28375,8.565374,80.76782	-0.9834899,0,0.1809629		1.485021
10	11	9		23.04791,6.750525,150.5091	0.8204095,0,0.5717764		11.83502
11	12	10		51.61526,9.22493,164.797	0.9916169,0,0.1292126		-0.7649841
12	13	11		46.96889,10.29014,106.774	0.9998966,0,0.01438206		-4.664978
13	-1	12		-27.68384,9.180934,24.89982	0.6930982,0,0.7208432		-0.6149902

